"Plot"	"Block"	"Entry"	"Genotype"	"Rep"	"X06022019"	"X06062019"	"X06082019"	"X06102019"	"X06132019"	"X06172019"	"X06252019"	"X06282019"	"X07022019"	"X07082019"	"X07102019"	"X07122019"	"X07152019"	"X07172019"	"X07182019"	"X07192019"	"X07222019"	"X07252019"	"X07312019"	"X08082019"	"X08212019"
"1"	"YC19:1001"	1	84	"PHJR5"	"1"	5.05882352941176	0.509803921568626	1.01960784313725	0.392156862745097	1.17647058823529	2.94117647058823	2.04313725490197	5.25490196078431	8.03921568627451	12.5882352941176	13.3333333333333	8.27058823529412	10.5098039215686	18.9803921568627	14	1.17647058823529	22.2003921568627	34.7843137254902	31.4407843137255	33.0196078431373	15.843137254902
"2"	"YC19:1002"	1	196	"DJ7"	"1"	2.27450980392157	0.784313725490193	2.27450980392156	0.784313725490193	1.33333333333333	2.58823529411765	2.43137254901961	4.27450980392157	6.55294117647059	10.5498039215686	13.4533333333333	7.57333333333333	9.52941176470588	16.296862745098	13.6760784313726	11.4901960784314	21.6592156862745	32.4105882352941	28.7203921568627	29.843137254902	15.921568627451
"3"	"YC19:1003"	1	247	"SD107"	"1"	2.23529411764706	1.17647058823529	1.21568627450981	0.431372549019606	0.784313725490204	1.86274509803921	1.56862745098039	3.89254901960784	7.14117647058823	8.52627450980392	12.7556862745098	8	9.33333333333333	16.4745098039216	13.0486274509804	13.8039215686275	20.2003921568627	31.2156862745098	28.156862745098	28.8235294117647	14.358431372549
"4"	"YC19:1004"	1	131	"NS501"	"1"	2.58823529411765	0.784313725490193	1.21568627450981	0.588235294117645	1.17647058823529	1.92156862745098	1.2156862745098	2.11764705882353	3.64705882352941	3.55254901960785	11.4509803921569	2.19607843137255	8.53450980392157	15.5294117647059	14.5137254901961	13.1372549019608	18.403137254902	28.9411764705882	24.3529411764706	23.4901960784314	13.3164705882353
"5"	"YC19:1005"	1	96	"1538"	"1"	2.4192156862745	1.05882352941177	1.56862745098039	0.784313725490193	0.823529411764703	2.19607843137255	1.89411764705881	4.51764705882353	6.54901960784314	9.80392156862745	12.5098039215686	7.09803921568628	8.94117647058824	15.0980392156863	12.4705882352941	13.5909803921569	18.5098039215686	29.2129411764706	25.6196078431373	25.4898039215686	12.5098039215686
"6"	"YC19:1006"	1	66	"CR 22 INBRED"	"1"	2.50980392156863	0.862745098039224	1.2156862745098	0.784313725490193	1.17647058823529	2.8235294117647	1.96078431372548	4.27450980392157	4.88235294117647	10.9207843137255	12.1960784313726	6.94117647058823	8.3921568627451	12.2352941176471	11.5294117647059	12.3137254901961	15.2635294117647	25.1372549019608	23.5411764705882	28.9019607843137	12.6274509803922
"7"	"YC19:1007"	1	163	"ICI 441"	"1"	1.96078431372549	1.09803921568627	1.17647058823529	0.745098039215684	0.784313725490193	2.07843137254902	1.68627450980393	3.83137254901961	6.16078431372549	10.8627450980392	12	7.76470588235294	8.66666666666666	14.3105882352941	12.5490196078431	12.2352941176471	17.2941176470588	26.9803921568627	24.2250980392157	25.8039215686274	13.6078431372549
"8"	"YC19:1008"	1	200	"78010"	"1"	1.80392156862745	1.17647058823529	1.33333333333333	0.392156862745097	1.1764705882353	2.05098039215686	1.80392156862746	3.9164705882353	6.50980392156862	7.17254901960784	11.9607843137255	5.92156862745098	8.74	14.4313725490196	11.0588235294118	11.4509803921569	19.6121568627451	28.2074509803921	24.4650980392157	22.843137254902	12.5545098039216
"9"	"YC19:1009"	1	190	"SD44"	"1"	1.41176470588235	0.745098039215684	0.784313725490193	0.666666666666664	1.17647058823529	2.03921568627451	2.31372549019608	4.43137254901961	6.70588235294117	10.5098039215686	11.3211764705882	6.85882352941177	8.43137254901961	12.1176470588235	11.7254901960784	11.1019607843137	16.3921568627451	25.6980392156863	23.7254901960784	23.4337254901961	11.6078431372549
"10"	"YC19:1010"	1	157	"C123"	"1"	2.1078431372549	0.784313725490193	1.52156862745098	0.627450980392155	0.901960784313722	2.11764705882353	1.88235294117647	3.18823529411765	3.25490196078431	4.62745098039216	10.2745098039216	5.26117647058824	7.92156862745099	12.9411764705882	12.3819607843137	10	14.9411764705882	24.156862745098	21.3588235294118	21.4117647058824	10.7843137254902
